City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
3,Guerrero Negro,MX,70.72,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
4,Dingle,PH,76.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
5,Tulsipur,NP,89.71,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
6,Rikitea,PF,79.84,clear sky,-23.1203,-134.9692,People ThankYou
7,Bambous Virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
11,Haripur,PK,88.75,clear sky,34.0,72.9341,Shah Zaman Hotel
12,Istmina,CO,73.69,overcast clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
13,Victoria,HK,79.95,clear sky,22.2855,114.1577,Mini Hotel Central
17,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
18,Touros,BR,78.44,light rain,-5.1989,-35.4608,INN NEW HORIZON
20,Taxco,MX,73.83,scattered clouds,18.55,-99.6,Hotel Boutique Pueblo Lindo
24,Puerto Ayora,EC,77.65,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Hithadhoo,MV,82.98,scattered clouds,-0.6,73.0833,Scoop Guest House
29,Bengkulu,ID,84.31,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Georgetown,MY,85.95,scattered clouds,5.4112,100.3354,Cititel Penang
34,Kiunga,PG,88.16,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
36,Atuona,PF,79.21,few clouds,-9.8,-139.0333,Villa Enata
38,Aloleng,PH,86.0,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
40,Tabou,CI,77.92,broken clouds,4.423,-7.3528,hotêl doufoulougou
41,New Norfolk,AU,71.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
45,Cabo San Lucas,MX,70.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,Mount Gambier,AU,75.13,clear sky,-37.8333,140.7667,The Commodore
48,Canchungo,GW,73.53,broken clouds,12.0672,-16.0333,Aparthotel Napalach
50,Sao Jose Da Coroa Grande,BR,77.22,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
52,Hobart,AU,72.01,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Byron Bay,AU,75.7,light rain,-28.65,153.6167,Backpackers Inn
58,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
60,Trincomalee,LK,83.44,overcast clouds,8.5711,81.2335,Welcombe Hotel
63,Xuddur,SO,78.21,overcast clouds,4.1213,43.8894,Banjanay Hotel
64,Praia,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
68,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
69,Solano,US,72.39,clear sky,38.2333,-121.9511,Westwind Inn
73,Capitan Bado,PY,72.25,broken clouds,-23.2667,-55.5333,Hotel Suiza
83,Lazaro Cardenas,MX,72.45,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
84,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
96,Harper,LR,78.55,overcast clouds,4.375,-7.7169,Screensaver
98,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
99,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
101,Tura,IN,87.96,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
106,Iralaya,HN,79.57,overcast clouds,15.0,-83.2333,Iglesia morava renovada
111,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
113,Umirim,BR,73.22,overcast clouds,-3.6772,-39.3503,RECANTO DOS FEITORES
116,Cockburn Town,TC,78.13,few clouds,21.4612,-71.1419,Osprey Beach Hotel
118,Faanui,PF,82.51,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Bac Lieu,VN,86.07,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
