City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Busselton,AU,-33.65,115.3333,69.08,74,100,14.76,overcast clouds
1,Avarua,CK,-21.2078,-159.775,80.65,83,20,6.91,few clouds
2,East London,ZA,-33.0153,27.9116,58.14,72,20,5.75,few clouds
3,Guerrero Negro,MX,27.9769,-114.0611,70.72,39,71,6.51,broken clouds
4,Dingle,PH,10.9995,122.6711,76.55,89,100,7.61,overcast clouds
5,Tulsipur,NP,28.131,82.2973,89.71,18,0,7.14,clear sky
6,Rikitea,PF,-23.1203,-134.9692,79.84,70,6,15.32,clear sky
7,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,40,8.05,scattered clouds
8,Peleduy,RU,59.6289,112.7406,34.38,95,100,12.1,light snow
9,Torbay,CA,47.6666,-52.7314,34.57,95,100,16.11,mist
10,Ilulissat,GL,69.2167,-51.1,-0.6,97,98,5.97,overcast clouds
11,Haripur,PK,34.0,72.9341,88.75,18,0,4.85,clear sky
12,Istmina,CO,5.1605,-76.684,73.69,99,100,1.32,overcast clouds
13,Victoria,HK,22.2855,114.1577,79.95,36,0,8.99,clear sky
14,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,79,40,9.22,scattered clouds
15,Portland,US,45.5234,-122.6762,65.03,51,100,8.05,overcast clouds
16,Villa Alemana,CL,-33.0422,-71.3733,54.77,100,75,3.44,mist
17,Souillac,MU,-20.5167,57.5167,77.38,94,40,8.05,scattered clouds
18,Touros,BR,-5.1989,-35.4608,78.44,85,91,8.81,light rain
19,Mataura,NZ,-46.1927,168.8643,53.83,62,77,10.87,broken clouds
20,Taxco,MX,18.55,-99.6,73.83,35,43,3.13,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,33.46,86,0,5.75,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,32.11,93,0,4.61,clear sky
23,Besikduzu,TR,41.052,39.2284,62.49,80,87,5.06,light rain
24,Puerto Ayora,EC,-0.7393,-90.3518,77.65,90,17,6.42,few clouds
25,Misratah,LY,32.3754,15.0925,59.41,66,0,7.54,clear sky
26,Hithadhoo,MV,-0.6,73.0833,82.98,63,50,6.58,scattered clouds
27,Verkhnyaya Inta,RU,65.9811,60.3094,4.71,89,96,4.43,overcast clouds
28,San Quintin,MX,30.4833,-115.95,69.96,45,1,1.32,clear sky
29,Bengkulu,ID,-3.8004,102.2655,84.31,63,72,7.16,broken clouds
